#,id,contactName,voucherNumber,voucherDate,totalAmount,_tax_rates,voucherStatus,_category
33,97029656-115f-40a6-96ff-78b73e6ebea6,Amazon Eu S.A.R.L.,PL617UYQAEUI,2026-03-13T00:00:00.000+01:00,19.46,0%,paid,Material/Waren > Wareneinkauf
34,a2f6812e-85b1-4345-8604-ae6151785b68,Metro Deutschland GmbH,13. 03. 2026/658/0/0/0521/009972,2026-03-13T00:00:00.000+01:00,380.27,7% / 19%,paid,Material/Waren > Wareneinkauf
35,c3f9b600-26de-480f-a15d-709507b18713,Metro Deutschland GmbH,13. 03. 2026/658/0/0/0521/010133,2026-03-13T00:00:00.000+01:00,262.18,7% / 19%,paid,Material/Waren > Wareneinkauf
36,fcb3829d-8c73-4000-ad66-8f6a70a90f3f,Haufe Service Center GmbH,lx2026030214186,2026-03-12T00:00:00.000+01:00,73.54,19%,paid,Sonstige Ausgaben > Lizenzen und Konzessionen
37,cbfd4352-3379-47ad-9449-b2a93b16e51e,Star Tankstelle,7343,2026-03-12T00:00:00.000+01:00,115.1,19%,paid,Fahrzeug > Kraftstoff/Ladestrom
38,ec0efcbb-e6b9-490a-aff6-26fa68b0b094,Wolfmarkt GmbH,1567283,2026-03-12T00:00:00.000+01:00,234.04,7%,paid,Material/Waren > Wareneinkauf
39,a403a7d5-cf57-41b7-b58f-0ba2569f24d9,Freenet,M26016655139,2026-03-10T00:00:00.000+01:00,15.38,19%,paid,Telekommunikation > Festnetz
40,58698c31-76f2-4c91-af51-7f8f0d29a15d,Freenet,M26017004193,2026-03-10T00:00:00.000+01:00,15.22,19%,paid,Telekommunikation > Festnetz
41,fc5f6a35-24a5-46e2-a6c4-88b3cae3b28c,Metro Deutschland GmbH,10. 03. 2026/658/0/0/0521/009483,2026-03-10T00:00:00.000+01:00,262.03,7%,paid,Material/Waren > Wareneinkauf
42,746cee32-e3f8-43fd-968e-24d0add02e44,Gema,7116728254,2026-03-08T00:00:00.000+01:00,86.82,19%,paid,Sonstige Ausgaben > Lizenzen und Konzessionen
43,b05e2b00-b5b8-4246-a976-33e7aa69f834,E Center Bahrs,7133,2026-03-07T00:00:00.000+01:00,26.09,19%,paid,Material/Waren > Wareneinkauf
44,a09bc030-7c68-4c71-a7bd-8ec97c43d55c,Metro Deutschland GmbH,07. 03. 2026/658/0/0/0521/009212,2026-03-07T00:00:00.000+01:00,132.25,7% / 19%,paid,Material/Waren > Wareneinkauf
45,6a0a115e-fa54-49eb-906b-c5a1b733da3d,Lidl,3351 577065/01,2026-03-07T00:00:00.000+01:00,64.11,19%,paid,Material/Waren > Wareneinkauf
46,95b71383-cf9e-459e-8882-cc3105996536,Getränke-Höpfner Voll-Service GmbH,R080083678,2026-03-06T00:00:00.000+01:00,462.55,19%,paid,Material/Waren > Wareneinkauf
47,1f113d5d-3f1a-4cb6-b2a6-400d8f63a27a,Xiamen Jinsheng Dianzishangwu Youxian Gongsi,DE60005122YGXI,2026-03-06T00:00:00.000+01:00,17.99,19%,paid,Material/Waren > Wareneinkauf
48,92914b6e-7623-4618-a0d9-6b2d38b59165,Amazon,DE6SR6GUAEUI,2026-03-06T00:00:00.000+01:00,12.39,19%,paid,Material/Waren > Wareneinkauf
49,13557419-d596-494f-92c9-a56e92a98a87,Otto Oehme GmbH,DE600737GV9SPI,2026-03-06T00:00:00.000+01:00,49.99,19%,paid,Material/Waren > Wareneinkauf
50,e216fe4d-e866-4689-99a6-9d9186eddaac,"Amazon Eu S.À R.I., Niederlassung Deutschland",DE6SQ9KUAEUI,2026-03-06T00:00:00.000+01:00,14.0,19%,paid,Material/Waren > Wareneinkauf
51,b52a8af8-9e5f-49d7-9c99-f39d0d814202,Metro Deutschland GmbH,03. 03. 2026/658/0/0/0521/008362,2026-03-03T00:00:00.000+01:00,362.87,7% / 19%,paid,Material/Waren > Wareneinkauf
52,70a75868-8aa6-45a1-941a-d65cd1177845,Metro Deutschland GmbH,03. 03. 2026/658/0/0/0521/008475,2026-03-03T00:00:00.000+01:00,168.62,7%,paid,Material/Waren > Wareneinkauf
53,b95ec3b7-6b94-4916-ac52-188c13f99d6c,"Refood Gmbh & Co. Kg,",10757688,2026-03-02T00:00:00.000+01:00,185.38,19%,paid,Raumkosten > Müllgebühren
54,949a051e-1b53-4953-9299-e741999d6e04,Sas Olinda,03-26-invoice-32382100,2026-03-01T00:00:00.000+01:00,26.4,19%,paid,Zinsen/Gebühren > Nebenkosten des Geldverkehrs
55,3cc041ee-f843-4e7e-802d-0d22c11fabd0,E Center Bahrs,4300,2026-02-28T00:00:00.000+01:00,23.98,19%,paid,Material/Waren > Wareneinkauf
56,fc7a836c-a49c-476e-ac6c-ca5da735cf6a,Mrap GmbH,HCM3410197,2026-02-28T00:00:00.000+01:00,20.9,0%,paid,Sonstige Ausgaben > Lizenzen und Konzessionen
57,d7c241a9-d483-453a-8107-8372aec2e0e5,Aldi,1728,2026-02-28T00:00:00.000+01:00,23.88,7% / 19%,paid,Material/Waren > Wareneinkauf
58,86d6dba4-237c-4682-81d4-8912fb637be6,Wolfmarkt GmbH,1563447,2026-02-28T00:00:00.000+01:00,136.12,7%,paid,Material/Waren > Wareneinkauf
59,a4e79eb7-3959-44d9-92d2-849553f5414d,Luoyang Hengshu Shangmao Youxian Gongsi,PL60002L4WWDVI,2026-02-26T00:00:00.000+01:00,5.42,0%,paid,Material/Waren > Wareneinkauf
60,26dacd5f-3950-4ccd-a9e6-b4b208e74483,Guangzhoumengbianxinxikejiyouxiangongsi,PL60009Q3CLCPI,2026-02-26T00:00:00.000+01:00,25.2,0%,paid,Material/Waren > Wareneinkauf
61,029cb8fc-afe2-468d-87a9-6d7ac5af04ee,Luoyang Hengshu Shangmao Youxian Gongsi,PL60002L4WWDVI,2026-02-26T00:00:00.000+01:00,5.42,0%,paid,Material/Waren > Wareneinkauf
62,1d2699b2-d150-4a9b-b4a2-13994dd3eb94,Dominik Watzinger Dominik Watzinger,DE601AQQ0CJD5I,2026-02-26T00:00:00.000+01:00,22.75,19%,paid,Material/Waren > Wareneinkauf
63,61a83a70-2273-4b50-bdf3-f4743955a810,Metro Deutschland GmbH,24. 02. 2026/658/0/0/0521/007385,2026-02-24T00:00:00.000+01:00,384.81,7% / 19%,paid,Material/Waren > Wareneinkauf
64,b2f180e7-75d6-4d04-afda-a99b1470f446,Finanzamt Gifhorn,LG-2026-02-079,2026-02-23T00:00:00.000+01:00,524.91,0%,paid,Zu zahlen > Lohn-und Kirchensteuer
65,80ebdda6-19f5-4da8-a2e2-102883b9d417,Techniker Krankenkasse,LG-2026-02-077,2026-02-22T00:00:00.000+01:00,1404.93,0%,paid,Zu zahlen > Sozialversicherungsbeiträge
66,f6cf19e7-e637-4e59-b369-db7770a47d09,Knappschaft (allg. Verf. einschl. Minijobs),LG-2026-02-080,2026-02-22T00:00:00.000+01:00,799.34,0%,paid,Zu zahlen > Sozialversicherungsbeiträge
67,f8da9822-07d5-49b1-b665-0fa1fcb8cc22,Metro Deutschland GmbH,21.02.2026/658/0/0/0502/000274,2026-02-21T00:00:00.000+01:00,228.2,7% / 19%,paid,Material/Waren > Wareneinkauf
68,79d2fadb-386b-4a3e-a308-af1041d23c59,Sumup,5100201377,2026-02-20T00:00:00.000+01:00,19.0,0%,paid,Sonstige Ausgaben > Lizenzen und Konzessionen
69,d903bc67-21ad-4325-b0e8-114bf1f4a5ff,Ionos Se,100181345398,2026-02-19T00:00:00.000+01:00,5.0,19%,paid,Sonstige Ausgaben > Lizenzen und Konzessionen
70,354430c2-6a55-483e-9e86-91b730dfa992,Metro Deutschland GmbH,INV/2026/00023,2026-02-18T00:00:00.000+01:00,419.19,7%,paid,Material/Waren > Wareneinkauf
71,5b7ffebd-79e3-4d3e-a2ba-7b40c5056907,Beeketal,2026-08228,2026-02-17T00:00:00.000+01:00,194.9,19%,paid,Sonstige Ausgaben > Anschaffungen
72,0a86a845-3855-4961-b38a-0f6d07284b28,Vodafone GmbH,101203886626,2026-02-17T00:00:00.000+01:00,71.28,19%,paid,Telekommunikation > Internet
73,81cab66f-238b-4a56-b0fd-35ad828f293b,Wolf Markt Gmbh I.G.,1558806,2026-02-17T00:00:00.000+01:00,171.09,7%,paid,Material/Waren > Wareneinkauf
74,40f8b1d5-6ee4-43bb-a640-9818fad90342,Metro Deutschland GmbH,17. 02. 2026/658/0/0/0521/006422,2026-02-17T00:00:00.000+01:00,199.22,7% / 19%,paid,Material/Waren > Wareneinkauf
75,332b66b2-3751-434f-9fa0-1c6c96be38f0,Aldi,8131,2026-02-16T00:00:00.000+01:00,71.55,7% / 19%,paid,Material/Waren > Wareneinkauf
76,d066e392-0ec7-49aa-8a3d-831b8d660ab9,Metro Deutschland GmbH,16. 02. 2026/658/0/0/0521/006254,2026-02-16T00:00:00.000+01:00,554.7,7% / 19%,paid,Material/Waren > Wareneinkauf
77,f9617946-d4f7-41d8-9f26-0a1b9ee5c801,Ströer Deutsche Städte Medien GmbH,6906544401,2026-02-15T00:00:00.000+01:00,260.61,19%,paid,Werbung > Anzeigen Print- und Online
78,db605fbe-0f14-4148-917d-a9f90b60ff47,Google Commerce,358840222267348-7,2026-02-15T00:00:00.000+01:00,21.99,19%,paid,Sonstige Ausgaben > Lizenzen und Konzessionen
79,f8a98b9b-9d8e-40b6-a7cb-2000d5c9cc96,Aldi,7607,2026-02-14T00:00:00.000+01:00,35.66,7% / 19%,paid,Material/Waren > Wareneinkauf
80,08ad02b6-0749-4513-9bb5-59d133fd4021,Documaxx Hessler Digitaldruck GmbH,4522,2026-02-13T00:00:00.000+01:00,34.4,19%,paid,Werbung > Anzeigen Print- und Online
81,a66b5759-fc04-4032-81c3-9da68201bd52,Metro Deutschland GmbH,13. 02. 2026/658/0/0/0521/005812,2026-02-13T00:00:00.000+01:00,110.27,7% / 19%,paid,Material/Waren > Wareneinkauf
82,077cb77c-8d4f-409c-9aac-bbc2f619b436,Haufe Service Center GmbH,lx2026020185821,2026-02-12T00:00:00.000+01:00,57.87,19%,paid,Sonstige Ausgaben > Lizenzen und Konzessionen
83,85ac459e-178d-4fae-bd47-93a7a36ef0ff,"Dipl.-Kfm. Frank Rusche. Steuerberater,",2026000060,2026-02-12T00:00:00.000+01:00,291.55,19%,paid,Beratung > Beratung
84,423186f5-90dd-4212-88ad-e08850bc0446,Bundesanzeiger Verlag GmbH,97890500,2026-02-12T00:00:00.000+01:00,96.27,19%,paid,Werbung > Anzeigen Print- und Online
85,06f8fb24-2756-4b15-864a-05b71e8cf1a4,Star Tankstelle,7649,2026-02-11T00:00:00.000+01:00,94.4,19%,paid,Fahrzeug > Kraftstoff/Ladestrom
86,4e728c98-8ec2-4373-9cb0-b9e615f1ddc2,Freenet,M26009582585,2026-02-10T00:00:00.000+01:00,14.99,19%,paid,Telekommunikation > Festnetz
